RprtDt,StateCd,Number of plan reassessments,Questionnaire,Indicator number,Indicator description,percentage Baseline,percentage Reassessment 1,percentage Reassessment 2,percentage Reassessment 3,percentage Reassessment 4,percentage Reassessment 5,percentage Reassessment 6,percentage Reassessment 7,percentage Reassessment 8
31/12/2024,ALL,1,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.31,0.34,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,7,% who are happy with their home,0.66,0.68,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,8,% who feel safe or very safe in their home,0.65,0.65,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.39,0.38,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.60,0.61,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,11,"% who participate in education, training or skill development",0.08,0.09,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.71,0.71,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.37,0.36,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,14,% who have a paid job,0.21,0.22,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,15,% who volunteer,0.10,0.10,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.77,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.79,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.56,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.34,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.59,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.32,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.20,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.64,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,1,% who choose who supports them,0.68,0.68,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,2,% who choose what they do each day,0.75,0.75,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.24,0.24,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,4,% who want more choice and control in their life,0.77,0.82,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,5,% with no friends other than family or paid staff,0.37,0.37,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.27,0.31,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,7,% who are happy with their home,0.64,0.67,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,8,% who feel safe or very safe in their home,0.63,0.64,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.35,0.35,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.59,0.61,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,11,"% who participate in education, training or skill development",0.08,0.09,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.85,0.85,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.36,0.35,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,14,% who have a paid job,0.20,0.20,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,15,% who volunteer,0.09,0.09,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.77,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.78,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.55,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.33,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.58,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.30,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.19,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.63,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,1,% who choose who supports them,0.59,0.57,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,2,% who choose what they do each day,0.70,0.69,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.20,0.22,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,4,% who want more choice and control in their life,0.76,0.81,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,5,% with no friends other than family or paid staff,0.30,0.29,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.37,0.40,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,7,% who are happy with their home,0.57,0.60,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,8,% who feel safe or very safe in their home,0.60,0.63,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.41,0.41,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.58,0.57,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,11,"% who participate in education, training or skill development",0.04,0.06,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",na,na,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.26,0.28,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,14,% who have a paid job,0.20,0.22,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,15,% who volunteer,0.06,0.06,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.73,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.72,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.61,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.44,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.59,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.33,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.24,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.66,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,1,% who choose who supports them,0.65,0.66,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,2,% who choose what they do each day,0.71,0.72,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.24,0.25,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,4,% who want more choice and control in their life,0.79,0.83,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,5,% with no friends other than family or paid staff,0.33,0.33,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.34,0.38,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,7,% who are happy with their home,0.67,0.70,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,8,% who feel safe or very safe in their home,0.65,0.66,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.42,0.42,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.59,0.61,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,11,"% who participate in education, training or skill development",0.08,0.09,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.71,0.70,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.38,0.36,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,14,% who have a paid job,0.20,0.20,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,15,% who volunteer,0.10,0.10,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.81,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.83,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.62,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.38,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.65,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.36,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.20,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.69,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,1,% who choose who supports them,0.65,0.65,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,2,% who choose what they do each day,0.73,0.73,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.23,0.24,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,4,% who want more choice and control in their life,0.74,0.77,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,5,% with no friends other than family or paid staff,0.30,0.31,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.34,0.36,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,7,% who are happy with their home,0.73,0.74,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,8,% who feel safe or very safe in their home,0.72,0.72,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.45,0.44,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.69,0.69,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,11,"% who participate in education, training or skill development",0.08,0.09,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.76,0.75,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.30,0.30,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,14,% who have a paid job,0.26,0.26,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,15,% who volunteer,0.10,0.10,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.72,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.77,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.52,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.36,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.55,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.30,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.21,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.58,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,1,% who choose who supports them,0.65,0.67,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,2,% who choose what they do each day,0.75,0.76,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.31,0.32,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,4,% who want more choice and control in their life,0.80,0.82,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,5,% with no friends other than family or paid staff,0.31,0.32,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.26,0.28,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,7,% who are happy with their home,0.73,0.73,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,8,% who feel safe or very safe in their home,0.72,0.72,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.40,0.40,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.62,0.64,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,11,"% who participate in education, training or skill development",0.07,0.08,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.80,0.80,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.28,0.27,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,14,% who have a paid job,0.21,0.21,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,15,% who volunteer,0.11,0.10,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.77,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.78,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.56,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.30,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.56,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.26,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.15,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.66,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,1,% who choose who supports them,0.65,0.66,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,2,% who choose what they do each day,0.72,0.73,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.24,0.24,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,4,% who want more choice and control in their life,0.79,0.83,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,5,% with no friends other than family or paid staff,0.37,0.36,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.29,0.31,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,7,% who are happy with their home,0.64,0.65,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,8,% who feel safe or very safe in their home,0.63,0.63,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.35,0.35,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.53,0.55,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,11,"% who participate in education, training or skill development",0.10,0.10,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.57,0.57,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.41,0.40,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,14,% who have a paid job,0.21,0.21,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,15,% who volunteer,0.09,0.10,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.74,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.76,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.51,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.31,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.56,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.30,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.18,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.59,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,1,% who choose who supports them,0.65,0.64,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,2,% who choose what they do each day,0.71,0.70,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.23,0.23,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,4,% who want more choice and control in their life,0.67,0.72,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,5,% with no friends other than family or paid staff,0.34,0.33,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.33,0.36,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,7,% who are happy with their home,0.72,0.73,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,8,% who feel safe or very safe in their home,0.67,0.66,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.44,0.42,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.71,0.71,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,11,"% who participate in education, training or skill development",0.07,0.08,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.82,0.82,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.32,0.32,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,14,% who have a paid job,0.27,0.26,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,15,% who volunteer,0.12,0.12,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,16,Has the NDIS helped you have more choices and more control over your life?,na,0.78,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,17,Has the NDIS helped you with daily living activities?,na,0.82,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,18,Has the NDIS helped you to meet more people?,na,0.60,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,19,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.39,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,20,Has your involvement with the NDIS improved your health and wellbeing?,na,0.62,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,21,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.32,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,22,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.24,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 25 and over,23,Has the NDIS helped you be more involved?,na,0.68,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,1,% receiving Carer Payment,0.06,0.08,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,2,% receiving Carer Allowance,0.19,0.24,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,3,% working in a paid job,0.63,0.66,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,4,"Of those in a paid job, % in permanent employment",0.89,0.89,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,5,"Of those in a paid job, % working 15 hours or more",0.90,0.90,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,6,% who say they (and their partner) are able to work as much as they want,0.51,0.51,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.88,0.90,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.27,0.28,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,9,% able to advocate for their child/family member,0.81,0.84,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,10,% who have friends and family they see as often as they like,0.49,0.51,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,11,% who feel very confident or somewhat confident in supporting their child's development,0.87,0.89,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,12,"% who rate their health as excellent, very good or good",0.80,0.76,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,13,Has the NDIS improved your capacity to advocate (stand up) for your child?,na,0.78,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,14,Has the NDIS improved the level of support for your family?,na,0.78,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,15,"Has the NDIS improved your access to services, programs and activities in the community?",na,0.81,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,16,Has the NDIS improved your ability/capacity to help your child develop and learn?,na,0.82,na,na,na,na,na,na,na
31/12/2024,ACT,1,Family/carer of participant 0 to 14,17,Has the NDIS improved your health and wellbeing?,na,0.54,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,1,% receiving Carer Payment,0.14,0.16,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,2,% receiving Carer Allowance,0.33,0.40,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,3,% working in a paid job,0.49,0.52,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,4,"Of those in a paid job, % in permanent employment",0.81,0.81,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,5,"Of those in a paid job, % working 15 hours or more",0.82,0.84,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,6,% who say they (and their partner) are able to work as much as they want,0.46,0.46,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,7,"Of those unable to work as much as they want, % who say the situation of their child/family member with disability is a barrier to working more",0.89,0.90,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,8,"Of those unable to work as much as they want, % who say insufficient flexibility of jobs is a barrier to working more",0.31,0.33,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,9,% able to advocate for their child/family member,0.78,0.78,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,10,% who have friends and family they see as often as they like,0.48,0.47,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,11,% who feel very confident or somewhat confident in supporting their child's development,0.86,0.88,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,12,"% who rate their health as excellent, very good or good",0.76,0.73,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,13,Has the NDIS improved your capacity to advocate (stand up) for your child?,na,0.71,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,14,Has the NDIS improved the level of support for your family?,na,0.75,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,15,"Has the NDIS improved your access to services, programs and activities in the community?",na,0.76,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,16,Has the NDIS improved your ability/capacity to help your child develop and learn?,na,0.79,na,na,na,na,na,na,na
31/12/2024,ALL,1,Family/carer of participant 0 to 14,17,Has the NDIS improved your health and wellbeing?,na,0.51,na,na,na,na,na,na,na
31/12/2024,NSW,1,Family/carer of participant 0 to 14,1,% receiving Carer Payment,0.12,0.15,na,na,na,na,na,na,na
31/12/2024,NSW,1,Family/carer of participant 0 to 14,2,% receiving Carer Allowance,0.27,0.35,na,na,na,na,na,na,na
